City,State,Population,Total cases,Date,New cases today
Alpine,VIC,12814,1,05/09/2020,0
Ararat,VIC,11845,7,05/09/2020,0
Ballarat,VIC,109505,60,05/09/2020,0
Banyule,VIC,131631,437,05/09/2020,0
Bass Coast,VIC,36320,11,05/09/2020,0
Baw Baw,VIC,53396,15,05/09/2020,0
Bayside,VIC,106862,246,05/09/2020,1
Benalla,VIC,14037,3,05/09/2020,0
Boroondara,VIC,183199,258,05/09/2020,0
Brimbank,VIC,209523,1942,05/09/2020,6
Buloke,VIC,6124,0,05/09/2020,0
Campaspe,VIC,37622,9,05/09/2020,0
Cardinia,VIC,112159,200,05/09/2020,4
Casey,VIC,353872,971,05/09/2020,3
Central Goldfields,VIC,13186,2,05/09/2020,0
Colac-Otway,VIC,21564,120,05/09/2020,6
Corangamite,VIC,16020,3,05/09/2020,0
Darebin,VIC,164184,635,05/09/2020,2
East Gippsland,VIC,47316,5,05/09/2020,0
Frankston,VIC,142643,228,05/09/2020,1
Gannawarra,VIC,10472,2,05/09/2020,0
Glen Eira,VIC,156511,208,05/09/2020,3
Glenelg,VIC,19674,20,05/09/2020,0
Golden Plains,VIC,23722,18,05/09/2020,0
Greater Bendigo,VIC,118093,105,05/09/2020,0
Greater Dandenong,VIC,168201,486,05/09/2020,4
Greater Geelong,VIC,258934,360,05/09/2020,0
Greater Shepparton,VIC,66498,50,05/09/2020,0
Hepburn,VIC,15975,2,05/09/2020,0
Hindmarsh,VIC,5588,0,05/09/2020,0
Hobsons Bay,VIC,97751,442,05/09/2020,7
Horsham,VIC,19921,13,05/09/2020,0
Hume,VIC,233471,1606,05/09/2020,4
Indigo,VIC,16701,1,05/09/2020,0
Kingston,VIC,165782,296,05/09/2020,2
Knox,VIC,164538,160,05/09/2020,0
Latrobe,VIC,75561,54,05/09/2020,0
Loddon,VIC,7504,4,05/09/2020,0
Macedon Ranges,VIC,50231,58,05/09/2020,0
Manningham,VIC,127573,169,05/09/2020,0
Mansfield,VIC,9176,10,05/09/2020,0
Maribyrnong,VIC,93448,576,05/09/2020,0
Maroondah,VIC,118558,105,05/09/2020,0
Melbourne,VIC,178955,880,05/09/2020,4
Melton,VIC,164895,1099,05/09/2020,5
Mildura,VIC,55777,6,05/09/2020,0
Mitchell,VIC,46082,85,05/09/2020,0
Moira,VIC,29925,11,05/09/2020,0
Monash,VIC,202847,304,05/09/2020,3
Moonee Valley,VIC,130294,768,05/09/2020,3
Moorabool,VIC,35049,40,05/09/2020,0
Moreland,VIC,185767,1013,05/09/2020,1
Mornington Peninsula,VIC,167636,186,05/09/2020,0
Mount Alexander,VIC,19754,9,05/09/2020,0
Moyne,VIC,16953,1,05/09/2020,0
Murrindindi,VIC,14570,9,05/09/2020,0
Nillumbik,VIC,65094,134,05/09/2020,1
Northern Grampians,VIC,11402,3,05/09/2020,0
,VIC,,187,05/09/2020,3
Port Phillip,VIC,115601,277,05/09/2020,1
Pyrenees,VIC,7472,3,05/09/2020,0
Queenscliffe,VIC,2940,2,05/09/2020,0
South Gippsland,VIC,29914,11,05/09/2020,0
Southern Grampians,VIC,16100,3,05/09/2020,0
Stonnington,VIC,117768,248,05/09/2020,1
Strathbogie,VIC,10781,2,05/09/2020,0
Surf Coast,VIC,33456,18,05/09/2020,0
Swan Hill,VIC,20649,5,05/09/2020,0
Towong,VIC,6040,0,05/09/2020,0
Wangaratta,VIC,29187,2,05/09/2020,0
Warrnambool,VIC,35181,13,05/09/2020,0
Wellington,VIC,44380,16,05/09/2020,0
West Wimmera,VIC,3841,1,05/09/2020,0
Whitehorse,VIC,178739,199,05/09/2020,0
Whittlesea,VIC,230238,1192,05/09/2020,6
Wodonga,VIC,42083,2,05/09/2020,0
Wyndham,VIC,270487,2143,05/09/2020,5
Yarra,VIC,101495,456,05/09/2020,0
Yarra Ranges,VIC,159462,252,05/09/2020,0
Yarriambiack,VIC,6639,1,05/09/2020,0
