Day of Date,Total cases
1-Feb-20,0
2-Feb-20,0
3-Feb-20,0
4-Feb-20,0
5-Feb-20,0
6-Feb-20,0
7-Feb-20,0
8-Feb-20,0
9-Feb-20,0
10-Feb-20,0
11-Feb-20,0
12-Feb-20,0
13-Feb-20,0
14-Feb-20,0
15-Feb-20,0
16-Feb-20,0
17-Feb-20,0
22-Feb-20,2
23-Feb-20,2
24-Feb-20,2
25-Feb-20,3
26-Feb-20,3
27-Feb-20,3
1-Mar-20,5
2-Mar-20,5
3-Mar-20,5
4-Mar-20,6
5-Mar-20,6
6-Mar-20,7
7-Mar-20,8
8-Mar-20,10
9-Mar-20,13
10-Mar-20,15
11-Mar-20,20
12-Mar-20,30
13-Mar-20,45
14-Mar-20,50
15-Mar-20,57
16-Mar-20,74
17-Mar-20,111
18-Mar-20,141
19-Mar-20,174
20-Mar-20,217
21-Mar-20,263
22-Mar-20,336
23-Mar-20,392
24-Mar-20,456
25-Mar-20,514
26-Mar-20,568
27-Mar-20,674
28-Mar-20,752
29-Mar-20,806
30-Mar-20,894
31-Mar-20,952
1-Apr-20,1015
2-Apr-20,1074
3-Apr-20,1096
4-Apr-20,1125
5-Apr-20,1151
6-Apr-20,1184
7-Apr-20,1208
8-Apr-20,1221
9-Apr-20,1233
10-Apr-20,1257
11-Apr-20,1263
12-Apr-20,1271
13-Apr-20,1280
14-Apr-20,1284
15-Apr-20,1289
16-Apr-20,1296
17-Apr-20,1310
18-Apr-20,1323
19-Apr-20,1324
20-Apr-20,1329
21-Apr-20,1330
22-Apr-20,1331
23-Apr-20,1336
24-Apr-20,1339
25-Apr-20,1342
26-Apr-20,1343
27-Apr-20,1346
28-Apr-20,1349
29-Apr-20,1356
30-Apr-20,1361
1-May-20,1371
2-May-20,1382
3-May-20,1403
4-May-20,1417
5-May-20,1433
6-May-20,1448
7-May-20,1461
8-May-20,1473
9-May-20,1481
10-May-20,1486
11-May-20,1502
12-May-20,1509
13-May-20,1518
14-May-20,1537
15-May-20,1550
16-May-20,1555
17-May-20,1561
18-May-20,1568
19-May-20,1573
20-May-20,1578
21-May-20,1588
22-May-20,1597
23-May-20,1599
24-May-20,1601
25-May-20,1606
26-May-20,1614
27-May-20,1624
28-May-20,1630
29-May-20,1638
30-May-20,1646
31-May-20,1650
1-Jun-20,1659
2-Jun-20,1666
3-Jun-20,1674
4-Jun-20,1677
5-Jun-20,1678
6-Jun-20,1682
7-Jun-20,1684
8-Jun-20,1684
9-Jun-20,1688
10-Jun-20,1695
11-Jun-20,1700
12-Jun-20,1708
13-Jun-20,1718
14-Jun-20,1730
15-Jun-20,1739
16-Jun-20,1759
17-Jun-20,1777
18-Jun-20,1789
19-Jun-20,1814
20-Jun-20,1831
21-Jun-20,1844
22-Jun-20,1861
23-Jun-20,1879
24-Jun-20,1912
25-Jun-20,1940
26-Jun-20,1980
27-Jun-20,2027
28-Jun-20,2096
29-Jun-20,2157
30-Jun-20,2233
1-Jul-20,2306
2-Jul-20,2368
3-Jul-20,2468
4-Jul-20,2536
5-Jul-20,2634
6-Jul-20,2802
7-Jul-20,2924
8-Jul-20,3073
9-Jul-20,3216
10-Jul-20,3506
11-Jul-20,3762
12-Jul-20,3929
13-Jul-20,4177
14-Jul-20,4396
15-Jul-20,4691
16-Jul-20,5069
17-Jul-20,5281
18-Jul-20,5618
19-Jul-20,5880
20-Jul-20,6221
21-Jul-20,6657
22-Jul-20,7031
23-Jul-20,7318
24-Jul-20,7651
25-Jul-20,8061
26-Jul-20,8554
27-Jul-20,8912
28-Jul-20,9186
29-Jul-20,9812
30-Jul-20,10361
31-Jul-20,10730
1-Aug-20,11328
2-Aug-20,11680
3-Aug-20,12084
4-Aug-20,12771
5-Aug-20,13215
6-Aug-20,13636
7-Aug-20,14091
8-Aug-20,14465
9-Aug-20,14775
10-Aug-20,15096
11-Aug-20,15496
12-Aug-20,15752
13-Aug-20,16113
14-Aug-20,16414
15-Aug-20,16680
16-Aug-20,16946
17-Aug-20,17164
18-Aug-20,17372
19-Aug-20,17603
20-Aug-20,17773
21-Aug-20,17946
22-Aug-20,18148
23-Aug-20,18257
24-Aug-20,18403
25-Aug-20,18545
26-Aug-20,18655
27-Aug-20,18766
28-Aug-20,18856
29-Aug-20,18964
30-Aug-20,19035
31-Aug-20,19098
1-Sep-20,19185
2-Sep-20,19295
3-Sep-20,19370
4-Sep-20,19441
5-Sep-20,19503
6-Sep-20,19541
7-Sep-20,19589
8-Sep-20,19659
9-Sep-20,19706
10-Sep-20,19746
11-Sep-20,19781
12-Sep-20,19822
13-Sep-20,19852
14-Sep-20,19891
15-Sep-20,19932
16-Sep-20,19957
17-Sep-20,20002
18-Sep-20,20022
19-Sep-20,20035
20-Sep-20,20046
21-Sep-20,20074
22-Sep-20,20088
23-Sep-20,20099
24-Sep-20,20112
25-Sep-20,20124
26-Sep-20,20140
27-Sep-20,20145
28-Sep-20,20154
29-Sep-20,20164
30-Sep-20,20178
1-Oct-20,20183
2-Oct-20,20192
3-Oct-20,20202
4-Oct-20,20210
5-Oct-20,20224
6-Oct-20,20229
7-Oct-20,20238
8-Oct-20,20248
9-Oct-20,20262
10-Oct-20,20274
11-Oct-20,20288
12-Oct-20,20299
13-Oct-20,20305
14-Oct-20,20311
15-Oct-20,0
