Suburb,Location,Address,Hours,Type,bg_accuracy
Airport West,Westfield Airport West,"Entry 6 (via Moore Rd), 29 - 35 Louis St","9am - 5pm, 7 days",Drive-through,ROOFTOP
Albert Park,Melbourne Sports and Aquatic Centre,"Rear Carpark, 30 Aughtie Drive (Enter via Old Aughtie Drive)","9am - 5pm, 7 days",Drive-through,ROOFTOP
Ascot Vale,Melbourne Showgrounds (drive through),"Melbourne Showgrounds, Gate 4 off Langs Rd - Left hand turn only","Monday to Friday, 9am - 5pm Saturday and Sunday, 9am - 5pm",Drive-through,GEOMETRIC_CENTER
Ascot Vale,Wingate Avenue Community Centre - cohealth,13A Wingate Ave,"9.30am - 12:30 pm and 1:30pm -4.30pm, Mon-Sat",Walk-in,ROOFTOP
Ascot Vale,Melbourne Showgrounds (walk in),"Access to the walk-in clinic is via Gate 1 off Epsom Road, Ascot Vale.","9am - 4.45pm, 7 days",Walk-in,GEOMETRIC_CENTER
Beaconsfield,4Cyte Pathology - Beaconsfield,20 Woods Street,Monday to Friday 8am - 5pm Weekends 11am - 2pm,Drive-through,ROOFTOP
Bendigo,Bendigo - Latrobe University (Rural Health School),Mercy street,"10am - 5.30pm, 7 days",Drive-through,GEOMETRIC_CENTER
Bentleigh East,4Cyte Pathology - Bentleigh East,609-611 South Road,Monday to Friday 8am - 5pm,Drive-through,ROOFTOP
Boort,Boort District Health,31 Kiniry Street,Monday to Friday 1230-1330 (by appointment only),Drive-through,ROOFTOP
Broadmeadows,Broadmeadows Central,1099-1169 Pascoe Vale Rd,Daily: 9am-5pm,Drive-through,ROOFTOP
Caroline Springs,Bunnings Caroline Springs,1067/1125 Western Hwy,"9am - 5pm, 7 days",Drive-through,GEOMETRIC_CENTER
Casterton,Casterton Memorial Hospital,63-69 Russell Street,7 days 9:15am - 10:30am,Walk-in,ROOFTOP
Castlemaine,Castlemaine Health/CHIRP Community Health,13 Mostyn Street,"Tuesday, Friday 2.00pm - 4.30pm Sunday 10.00am - 12.00pm",Drive-through,ROOFTOP
Clyde,Clyde Recreation Reserve Footy Pavilion,"Clyde Recreation Reserve Footy Pavillion, Pattersons Road",Daily 9am - 4pm,Walk-in,GEOMETRIC_CENTER
Colac,Colac Area Health,"Neighbourhood House, 23 Miller St",9.30-3pm 7 days,Walk-in,ROOFTOP
Craigieburn,Craigieburn Centre - Northern Health,274-304 Craigieburn Rd,Weekday: 09.00 - 16.00 Weekend: 09.00 - 16.00,Drive-through,ROOFTOP
Cranbourne East,Casey Fields,160 Berwick-Cranbourne Road,Weekday: 09:00 - 16.00 Weekend: 09.00 - 16.00,Drive-through,GEOMETRIC_CENTER
Dandenong,Dandenong drive-through centre,"Carroll Lane Car park (off Cheltenham Road), Dandenong",Weekday: 09:00 - 16.00 Weekend: 09.00 - 16.00,Drive-through,GEOMETRIC_CENTER
Dandenong,Carroll Lane Dandenong walk-up,Carroll Lane Car Park (off Cheltenham Road),Friday 18 September (10am-4pm).,Walk-in,GEOMETRIC_CENTER
Dandenong,McCrae St Dandenong walk up,4-6 McCrae Street,Friday 18 September (10am-2pm).,Walk-in,ROOFTOP
Epping,Pacific Epping,"Epping plaza shopping centre, 571-583 High St","9am - 5pm, 7 days",Drive-through,GEOMETRIC_CENTER
Fairfield,4Cyte Pathology - Fairfield,202 Station Street,Monday to Friday 8am - 5pm,Drive-through,ROOFTOP
Fawkner,Fawkner - Merri Health,"CB Smith Reserve, 79 Jukes Rd","10am-4pm, 7 days",Walk-in,GEOMETRIC_CENTER
Greensborough,Banyule Community Health - Diamond Valley,"Diamond Valley Sports and Fitness Centre, 44 Civic Drive","9am-4pm, 7 days",Drive-through,ROOFTOP
Hallam,Hallam Secondary College,74-84 Frawley Road,Daily 9am - 4pm,Walk-in,ROOFTOP
Hamilton,Western District Health Service,"20 Foster St (Enter from Foster Street, to the right of the Emergency Department)",Weekday: 1.00pm to 3.00pm Saturday: 10am to 12pm,Drive-through,ROOFTOP
Hastings,Peninsula Health Mobile Site-Hastings Community Health,185 High Street,Saturday 19 September and Sunday 20 September (9am-3:30pm),Walk-in,ROOFTOP
Hoppers Crossing,Pacific Werribee,250 Heaths Rd,Weekdays only: 9am-5pm; closed on weekends,Drive-through,GEOMETRIC_CENTER
Inglewood,Inglewood and Districts Health Service,3 Hospital Street,Monday - Friday 2:30 - 3:30pm,Drive-through,ROOFTOP
Keilor,Keilor Community Hub,704B Old Calder Highway,Weekday: 10.00 - 16.00 Weekend: 10.00 - 16.00,Drive-through,ROOFTOP
Keysborough,Springers Keysborough,"Springers Leisure Centre, 400 Cheltenham Road","9am - 5pm, 7 days",Drive-through,ROOFTOP
Kilmore,The Kilmore and District Hospital,1 Anderson Road,"9am - 3:30pm, Mon-Fri",Drive-through,ROOFTOP
Kinglake,"Nexus Health, Kinglake",19 Whittlesea-Kinglake Rd,Tuesday to Friday 10am-11am and 2:30pm-3:30pm,Drive-through,ROOFTOP
Kooweerup,Koo Wee Rup Regional Health Service,255 Rossiter Road,"12.30pm - 2.30pm Mon, Wed, Fri",Drive-through,ROOFTOP
Kyabram,Kyabram and District Health Service,88 Fenaughty St,"9am - 11am, Monday - Saturday",Drive-through,ROOFTOP
Leongatha,Gippsland Southern Health Service,66 Koonwarra Road,"Tues, Thurs, Friday 9:30am - 2:30pm by appointment only call 5654 2777",Drive-through,ROOFTOP
Malvern East,Chadstone Golfers Drive,"Gate 4, Golfers Drive, Multi deck carpark level 2","9am - 5pm, 7 days",Drive-through,RANGE_INTERPOLATED
Mansfield,Mansfield District Hospital,Cnr Maroondah Highway & Elvins Street,Monday to Friday 1.30pm - 3.30pm,Drive-through,GEOMETRIC_CENTER
Mansfield,Mansfield District Hospital - Drive Through,53 Highett Street (enter via Malcolm Street car park entrance),Sat-Sun 10am-12pm,Drive-through,ROOFTOP
Maribyrnong,Highpoint shopping Centre,120-200 Rosamond Road,"9am - 5pm, 7 days",Drive-through,ROOFTOP
Melbourne Airport,Melbourne Airport,"Terminal 4, Level 2 (Mercer Dv exit off Tullamarine Fwy)","9am - 5pm, 7 days",Drive-through,GEOMETRIC_CENTER
Mernda,Woodland Waters Reserve Mernda,"Woodland Waters Reserve, Waterview Drive","9.30-4.30, 7 days",Drive-through,GEOMETRIC_CENTER
Mornington,Peninsula Health - The Mornington Centre,"The Mornington Centre, 24 Separation Street",Saturday 19 September and Sunday 20 September (11am-4pm),Walk-in,ROOFTOP
Mount Buller,Mansfield District Hospital - Mt Buller,14 Chamois Road,9am - 11am,Walk-in,ROOFTOP
Newtown,ACL - Newtown (Geelong),241 Pakington St (corner of Pakington St and Aberdeen St),Monday to Friday 8am - 5pm,Drive-through,ROOFTOP
Niddrie,Niddrie Community Hub - cohealth,3/3-15 Matthews Ave,"9.30am - 4.30pm, Mon-Fri",Walk-in,ROOFTOP
Noble Park,Noble Park Skate Park Carpark,Memorial Drive Skate Park,Daily 9am - 4pm,Walk-in,GEOMETRIC_CENTER
